sys_id,property_sys_id,sale_date,sale_price_usd,price_per_unit_usd,price_per_sqft_usd,reported_cap_rate,buyer_name,seller_name,recording_ref,brokerage,was_portfolio,portfolio_name,notes,source,as_of_date,ingested_at,quality_flag
SALE-PROP-000005-1,PROP-000005,2019-07-31,24159154.0,251658.0,320.83,0.0478,HORIZON CAPITAL,LEGACY REALTY,BK8810/PG632,CUSHMAN CAPITAL MARKETS,True,,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000008-1,PROP-000008,2014-06-30,6413768.0,39348.0,48.11,0.0713,RIDGE CAPITAL,LEGACY REALTY,BK8028/PG636,CBRE CAPITAL MARKETS,False,SUBURBAN VALUE-ADD,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000008-2,PROP-000008,2018-09-30,5564352.0,34137.0,41.74,0.0698,RIDGE CAPITAL,URBAN REALTY,BK7054/PG588,BERKADIA CAPITAL MARKETS,True,,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000009-1,PROP-000009,2021-03-31,11747415.0,170252.0,221.22,0.0563,SUMMIT CAPITAL,LEGACY REALTY,BK8801/PG815,CUSHMAN CAPITAL MARKETS,False,SUBURBAN VALUE-ADD,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000019-1,PROP-000019,2024-03-31,3870753.0,129025.0,149.25,0.052,ATLANTIC CAPITAL,NORTHSTAR REALTY,BK7293/PG778,JLL CAPITAL MARKETS,False,GOTHAM CORE MF,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000019-2,PROP-000019,2016-01-31,4453774.0,148459.0,171.73,0.0523,PACIFIC CAPITAL,CROWN REALTY,BK5358/PG78,BERKADIA CAPITAL MARKETS,False,RIVER DISTRICT,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000021-1,PROP-000021,2019-08-31,22257223.0,229456.0,265.27,0.0633,PACIFIC CAPITAL,URBAN REALTY,BK4659/PG658,CBRE CAPITAL MARKETS,False,,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000026-1,PROP-000026,2014-05-31,11922553.0,220788.0,251.53,0.0628,ATLANTIC CAPITAL,CROWN REALTY,BK2972/PG312,CBRE CAPITAL MARKETS,False,RIVER DISTRICT,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000029-1,PROP-000029,2017-09-30,79599997.0,414583.0,516.1,0.045,HORIZON CAPITAL,LEGACY REALTY,BK5276/PG219,JLL CAPITAL MARKETS,False,GOTHAM CORE MF,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
SALE-PROP-000029-2,PROP-000029,2013-10-31,92492552.0,481732.0,599.69,0.0538,PACIFIC CAPITAL,NORTHSTAR REALTY,BK7039/PG486,JLL CAPITAL MARKETS,False,,,GOTHAM_SYNTHETIC,2025-08-31,2025-09-27T18:57:54,passed
